Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
11-Feb-19;484.00;487.50;436.00;436.00;446.920.881.622.156.000.000;230212;8265;102886550.00;86920;37.76;51.50;-48.00
08-Feb-19;514.00;519.90;480.05;484.40;494.666.149.340.172.000.000;211343;6657;104544228.00;49271;23.31;39.85;-29.60
07-Feb-19;513.90;526.00;503.40;511.90;515.771.264.535.307.000.000;171565;5702;88488297.00;40682;23.71;22.60;-2.00
06-Feb-19;527.00;568.00;502.80;515.95;531.097.387.652.217.000.000;570483;18958;302982031.00;61351;10.75;65.20;-11.05
05-Feb-19;525.00;539.95;507.00;518.45;524.416.612.100.035.000.000;181735;5903;95304853.00;31996;17.61;32.95;-6.55
04-Feb-19;548.50;548.50;512.00;523.40;523.126.970.323.455.000.000;182838;6314;95647489.00;37951;20.76;36.50;-25.10
01-Feb-19;604.00;622.10;547.20;558.40;578.714.247.859.783.000.000;1018939;31900;589674517.00;159533;15.66;74.90;-45.60
31-Jan-19;535.10;565.55;530.00;565.55;558.978.371.681.950.000.000;330955;7202;184996687.00;65751;19.87;35.55;30.45
30-Jan-19;483.10;514.15;482.40;514.15;504.628.962.313.791.000.000;496017;12917;250304544.00;73391;14.80;31.75;31.05
29-Jan-19;490.00;498.75;459.30;467.45;474.515.549.962.939.000.000;580130;18635;275280706.00;82463;14.21;39.45;-22.55
28-Jan-19;525.00;537.95;470.00;500.85;510.931.982.860.181.000.000;671419;21650;343049441.00;89849;13.38;67.95;-24.15
25-Jan-19;625.00;639.65;544.50;552.20;578.427.115.803.510.000.000;881899;33009;510114295.00;178510;20.24;95.15;-72.80
24-Jan-19;675.00;678.90;616.00;624.65;636.968.598.001.335.000.000;357939;14723;227995903.00;95134;26.58;62.90;-50.35
23-Jan-19;680.40;698.50;668.50;671.20;681.069.011.730.019.000.000;141773;5173;96557197.00;43646;30.79;30.00;-9.20
22-Jan-19;687.00;696.85;675.00;679.15;682.242.011.377.203.000.000;142390;5689;97144440.00;37129;26.08;21.85;-7.85
21-Jan-19;701.00;721.45;681.00;684.05;696.424.441.108.416.000.000;233811;8711;162831695.00;45502;19.46;40.45;-16.95
18-Jan-19;734.00;737.00;698.00;700.00;712.580.059.347.729.000.000;216352;7698;154168121.00;55161;25.50;39.00;-34.00
17-Jan-19;756.90;777.50;724.00;731.05;750.270.938.413.501.000.000;341406;12759;256147000.00;69594;20.38;53.50;-25.85
16-Jan-19;700.00;799.70;690.00;752.50;767.141.330.709.029.000.000;770236;27149;590879870.00;115367;14.98;109.70;52.50
15-Jan-19;705.00;708.15;690.70;694.65;698.300.943.977.016.000.000;77968;2669;54445128.00;26184;33.58;17.45;-10.35
14-Jan-19;725.55;725.55;705.00;706.95;713.234.266.894.738.000.000;78338;2284;55873346.00;26681;34.06;20.55;-18.60
11-Jan-19;730.00;730.00;719.00;720.15;722.842.004.716.277.000.000;33501;1210;24215930.00;11733;35.02;11.00;-9.85
10-Jan-19;721.00;734.30;721.00;724.55;726.783.727.271.206.000.000;59781;2447;43447858.00;18373;30.73;13.30;3.55
09-Jan-19;726.00;729.80;721.00;723.40;724.471.142.020.170.000.000;44719;1748;32397625.00;13285;29.71;8.80;-2.60
08-Jan-19;722.60;735.60;715.05;718.70;724.382.855.787.079.000.000;71651;2501;51902756.00;19947;27.84;20.55;-3.90
07-Jan-19;733.00;744.90;720.00;722.60;728.828.603.991.934.000.000;68438;2321;49879572.00;26434;38.62;24.90;-10.40
