Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
11-Feb-19;2381.00;2381.00;2190.00;2211.10;2.243.004.678.903.790.000.000;38898;5280;87248396.00;9409;24.19;191.00;-169.90
08-Feb-19;2420.00;2442.35;2352.90;2373.10;2.383.397.705.039.390.000.000;18911;2573;45072434.00;3658;19.34;89.45;-46.90
07-Feb-19;2350.00;2480.00;2345.00;2394.40;2.417.804.153.793.340.000.000;34956;5444;84516762.00;11877;33.98;135.00;44.40
06-Feb-19;2497.00;2619.90;2446.00;2524.70;2.529.645.815.398.060.000.000;75503;11602;190995848.00;16568;21.94;173.90;27.70
05-Feb-19;2390.00;2480.00;2275.00;2427.00;2.427.867.246.323.180.000.000;54055;7860;131238364.00;12338;22.82;205.00;37.00
04-Feb-19;2570.00;2579.90;2320.00;2369.35;2.390.845.914.648.950.000.000;61745;8851;147622781.00;15615;25.29;259.90;-200.65
01-Feb-19;2627.00;2627.00;2475.00;2537.35;2.552.474.044.599.480.000.000;224173;22541;572195764.00;61033;27.23;152.00;-89.65
31-Jan-19;2330.00;2388.20;2241.40;2388.20;2.350.455.951.002.280.000.000;83759;8130;196871840.00;24760;29.56;146.80;58.20
30-Jan-19;2100.00;2172.05;1980.00;2171.10;2.108.025.421.415.400.000.000;146530;18626;308888965.00;26169;17.86;192.05;71.10
29-Jan-19;2090.00;2110.00;1974.60;1974.60;2.033.598.189.454.560.000.000;140952;15630;286639732.00;26731;18.96;135.40;-115.40
28-Jan-19;2700.00;2728.30;2194.00;2194.00;2.382.436.664.511.410.000.000;190233;22265;453218074.00;42186;22.18;534.30;-506.00
25-Jan-19;3044.00;3072.00;2626.00;2742.45;2.823.399.313.557.540.000.000;162286;24531;458198181.00;21104;13.00;446.00;-301.55
24-Jan-19;3280.10;3320.95;2985.00;3004.95;3.089.629.989.368.260.000.000;76187;11587;235389640.00;22742;29.85;335.95;-275.15
23-Jan-19;3239.75;3343.00;3230.00;3275.45;3.285.695.176.140.200.000.000;28131;3935;92429891.00;7833;27.84;113.00;35.70
22-Jan-19;3377.00;3378.55;3202.00;3223.75;3.288.230.753.590.770.000.000;68857;8562;226417705.00;28093;40.80;176.55;-153.25
21-Jan-19;3549.00;3568.20;3357.00;3374.65;3.454.465.469.330.440.000.000;34187;6315;118097811.00;11490;33.61;211.20;-174.35
18-Jan-19;3601.00;3649.90;3531.00;3546.85;3.577.407.191.617.020.000.000;22999;4811;82276788.00;6344;27.58;118.90;-54.15
17-Jan-19;3698.00;3744.00;3570.10;3583.10;3.645.314.254.032.790.000.000;37877;5580;138073568.00;8582;22.66;173.90;-114.90
16-Jan-19;3545.00;3925.00;3545.00;3687.85;3.776.729.361.109.900.000.000;114965;16696;434191691.00;20841;18.13;380.00;142.85
15-Jan-19;3625.00;3625.00;3526.40;3541.00;3.558.141.484.249.860.000.000;11238;1918;39986394.00;4119;36.65;98.60;-84.00
14-Jan-19;3660.00;3660.00;3600.00;3610.10;3.623.672.851.956.430.000.000;4958;837;17966170.00;1886;38.04;60.00;-49.90
11-Jan-19;3661.50;3694.90;3645.60;3660.90;3.671.228.377.781.050.000.000;6787;1242;24916627.00;2621;38.62;49.30;-0.60
10-Jan-19;3644.05;3700.00;3626.20;3663.00;3.672.577.033.952.590.000.000;6244;1081;22931571.00;1603;25.67;73.80;18.95
09-Jan-19;3698.00;3698.00;3625.00;3657.90;3.661.802.788.844.620.000.000;8032;1257;29411600.00;2669;33.23;73.00;-40.10
08-Jan-19;3699.00;3700.00;3664.25;3676.70;3.681.782.059.061.480.000.000;9888;1079;36405461.00;4782;48.36;35.75;-22.30
07-Jan-19;3719.00;3719.00;3654.00;3674.95;3.686.612.427.428.210.000.000;6373;1190;23494781.00;2396;37.60;65.00;-44.05
04-Jan-19;3666.00;3687.00;3640.00;3644.90;3.655.217.514.488.080.000.000;7765;1483;28382764.00;3257;41.94;47.00;-21.10
03-Jan-19;3680.00;3710.00;3651.00;3661.00;3.675.742.701.525.050.000.000;9180;1694;33743318.00;3328;36.25;59.00;-19.00
02-Jan-19;3671.40;3725.00;3661.00;3679.20;3.689.218.669.150.360.000.000;9663;1667;35648920.00;2515;26.03;64.00;7.80
01-Jan-19;3724.00;3724.50;3680.00;3687.00;3.695.713.607.360.140.000.000;6739;1459;24905414.00;2258;33.51;44.50;-37.00
31-Dec-18;3739.00;3755.00;3702.30;3719.55;3.724.416.035.608.990.000.000;17299;3363;64428673.00;5570;32.20;52.70;-19.45
28-Dec-18;3700.00;3728.00;3670.70;3691.20;3.701.282.809.388.760.000.000;16573;2839;61341360.00;4695;28.33;57.30;-8.80
27-Dec-18;3605.00;3745.00;3605.00;3700.70;3.705.926.725.278.600.000.000;34009;5738;126034862.00;7682;22.59;140.00;95.70
26-Dec-18;3650.00;3650.00;3485.05;3566.35;3.570.034.548.319.680.000.000;58382;12175;208425757.00;14431;24.72;164.95;-83.65
24-Dec-18;3929.00;3929.00;3636.30;3674.10;3.727.540.910.382.910.000.000;49254;10304;183596300.00;17386;35.30;292.70;-254.90
21-Dec-18;3960.00;3960.00;3880.00;3889.00;3.905.076.666.484.380.000.000;18287;3608;71412137.00;7808;42.70;80.00;-71.00
20-Dec-18;3956.05;3989.75;3911.00;3921.55;3.938.239.081.132.480.000.000;13669;2911;53831790.00;5312;38.86;78.75;-34.50
19-Dec-18;4059.75;4059.75;3955.05;3970.20;3.983.117.360.329.950.000.000;8001;1897;31868922.00;3966;49.57;104.70;-89.55
18-Dec-18;3999.00;4017.55;3958.85;3986.90;3.991.265.802.528.400.000.000;12498;1964;49882840.00;4348;34.79;58.70;-12.10
17-Dec-18;4030.30;4050.00;3982.00;4001.35;4.001.985.812.912.520.000.000;13181;2202;52750175.00;7585;57.54;68.00;-28.95
14-Dec-18;4076.00;4095.00;4004.20;4027.65;4.046.152.180.332.700.000.000;10159;1720;41104860.00;3048;30.00;90.80;-48.35
13-Dec-18;3985.05;4085.00;3985.05;4046.15;4.033.574.013.051.620.000.000;15477;2231;62427625.00;4176;26.98;99.95;61.10
12-Dec-18;3909.00;3995.10;3909.00;3966.20;3.967.976.762.443.080.000.000;12738;1679;50544088.00;3248;25.50;86.10;57.20
11-Dec-18;3900.00;3982.85;3889.25;3902.05;3.927.017.985.611.510.000.000;16124;2176;63319238.00;4933;30.59;93.60;2.05
10-Dec-18;3900.00;3992.95;3870.00;3949.15;3.945.209.795.704.550.000.000;11454;1754;45188433.00;2864;25.00;122.95;49.15
07-Dec-18;4020.00;4049.90;3950.00;3976.45;4.004.177.478.640.960.000.000;20132;2699;80612101.00;5623;27.93;99.90;-43.55
06-Dec-18;4000.00;4029.90;3887.70;3998.15;3.952.653.426.987.520.000.000;31748;4269;125488841.00;8514;26.82;142.20;-1.85
05-Dec-18;4080.00;4128.80;4016.05;4029.65;4.059.676.827.463.740.000.000;13516;2189;54870592.00;3821;28.27;112.75;-50.35
04-Dec-18;4148.00;4148.00;4079.20;4087.20;4.104.473.388.919.190.000.000;12833;1892;52672707.00;5553;43.27;68.80;-60.80
03-Dec-18;4200.00;4200.05;4108.55;4129.45;4.153.932.924.156.070.000.000;11405;1598;47375605.00;4819;42.25;91.50;-70.55
30-Nov-18;4185.00;4229.00;4170.05;4182.50;4.193.674.234.485.970.000.000;8589;1264;36019468.00;3100;36.09;58.95;-2.50
29-Nov-18;4177.00;4233.00;4066.65;4177.05;4.175.082.299.064.170.000.000;15067;2351;62905965.00;3367;22.35;166.35;0.05
28-Nov-18;4324.00;4357.50;4160.00;4172.75;4.255.609.201.726.910.000.000;23626;3041;100543023.00;9779;41.39;197.50;-151.25
27-Nov-18;4374.00;4403.00;4337.50;4350.25;4.372.171.885.724.090.000.000;23312;2969;101924071.00;7424;31.85;65.50;-23.75
26-Nov-18;4402.00;4420.00;4305.00;4360.40;4.374.954.704.742.020.000.000;53648;6193;234707570.00;15580;29.04;115.00;-41.60
22-Nov-18;4336.00;4398.90;4336.00;4350.95;4.364.286.756.634.590.000.000;15487;2050;67589709.00;4862;31.39;62.90;14.95
21-Nov-18;4315.00;4364.00;4292.00;4333.45;4.327.272.212.389.380.000.000;14125;2145;61122720.00;4004;28.35;72.00;18.45
20-Nov-18;4460.00;4480.00;4310.70;4342.50;4.364.346.200.660.750.000.000;40257;5531;175695485.00;11171;27.75;169.30;-117.50
19-Nov-18;4203.00;4350.00;4190.00;4261.50;4.290.419.354.838.700.000.000;39122;4924;167849786.00;16400;41.92;160.00;58.50
16-Nov-18;4111.00;4289.00;4111.00;4216.85;4.202.056.462.631.500.000.000;29276;3429;123019405.00;7208;24.62;178.00;105.85
15-Nov-18;4116.75;4185.00;4075.10;4110.90;4.131.752.245.474.850.000.000;21933;2436;90621722.00;4816;21.96;109.90;-5.85
14-Nov-18;4181.05;4191.95;4105.00;4116.25;4.137.117.149.220.480.000.000;13470;1526;55726968.00;6316;46.89;86.95;-64.80
13-Nov-18;4169.00;4218.00;4146.00;4173.25;4.181.547.639.052.260.000.000;11902;1557;49768780.00;4317;36.27;72.00;4.25
12-Nov-18;4190.50;4246.00;3999.90;4171.50;4.190.560.320.472.270.000.000;23715;2747;99379138.00;5950;25.09;246.10;-19.00
09-Nov-18;4209.00;4220.45;4155.45;4185.25;4.188.092.197.614.990.000.000;14675;2006;61460253.00;5837;39.78;65.00;-23.75
07-Nov-18;4150.00;4215.40;4147.95;4191.75;4.183.756.203.183.520.000.000;8544;1156;35746013.00;3049;35.69;67.45;41.75
